#Position,fname,lname,Skin,Face,Photo,Photo Texture,Face Model Texture
,,,,,,,
Team = 49ers    Players:53,,,,,,,
QB,Chris,Simms,Skin17,Face3,5240,61403D1C,0x83110820
SS,Jermaine,Phillips,Skin5,Face3,3671,256D2F9C,0x315951BF
SS,Will,Allen,Skin12,Face1,6304,(no photo),0x5D14BD9C
T,Derrick,Deese,Skin20,Face9,1553,9563F2F,0x5D14BD9C
T,Todd,Steussie,Skin9,Face10,958,7ACB710A,0xA89AF2A8
T,Jason,Whittle,Skin17,Face10,1116,46E91409,0x7B6B6702
T,Kenyatta,Walker,Skin5,20,3224,24AC06C9,0xCF53B2D9
TE,Dave,Moore,Skin17,Face15,1668,C1417ECC,0x95302A80
TE,Rickey,Dudley,Skin21,Face12,1260,8CB1791B,0xD6346ED1
TE,Ken,Dilger,Skin1,Face9,721,D230886E,0x9A9B6D64
TE,Nate,Lawrie,Skin9,Face14,6712,(no photo),0x39799B1C
WR,Joey,Galloway,Skin5,Face7,1615,9A336A11,0x7C14F790
WR,Keenan,McCardell,Skin3,Face3,794,F3AAA84C,0xC21A3909
WR,Michael,Clayton,Skin12,Face1,6355,(no photo),0x5D14BD9C
WR,Joe,Jurevicius,Skin1,Face6,1150,8637FB84,0x8E8CC3D2
WR,Charles,Lee,Skin6,Face5,2809,4F1803BC,0x42A8D1EC
WR,Mark,Jones,Skin11,Face1,6707,(no photo),0x0BB4D632
C,John,Wade,Skin17,Face10,732,3A341372,0xC279C213
C,Ryan,Benjamin,Skin17,Face15,3838,2B7D8EE9,0x95302A80
,,,,,,,
Team = Cardinals    Players:53,,,,,,,
CB,Duane,Starks,Skin3,Face3,124,81F96EB1,0xB032F351
CB,Renaldo,Hill,Skin5,Face15,3098,11B8024E,0x0FBA933D
CB,David,Macklin,Skin4,Face6,2575,1D3DC13C,0x688EAF51
CB,Coby,Rhinehart,Skin14,Face3,2017,6DF0581D,0x108E8FFF
DE,Bert,Berry,Skin5,Face13,680,D0841BFB,0xEBB7CCE6
DE,Calvin,Pace,Skin5,Face15,5198,7883DBB6,0x0FBA933D
DE,Fred,Wakefield,Skin9,Face10,3825,2B3F4945,0x7B6B6702
DE,Dennis,Johnson,Skin20,Face10,3615,CCEBBF37,0x457B656D
DE,Antonio,Smith,Skin1,Face13,6600,(no photo),0x159B72BA
DE,Kyle,Vanden Bosch,Skin9,Face15,3222,C77B1601,0xBC6F0ACA
DT,Russell,Davis,Skin22,20,2040,5044F99B,0x42A8D1EC
DT,Wendell,Bryant,Skin20,Face13,3526,A1F10B3D,0x5A5438FE
DT,Darnell,Dockett,Skin4,Face9,6379,(no photo),0x5D14BD9C
DT,Kenny,King,Skin20,Face15,5150,A8507494,0x76EFCE7B
FB,James,Hodgins,Skin18,Face7,2860,C0EE31A6,0xAEE91258
FB,Obafemi,Ayanbadejo,Skin4,Face3,2823,F0854447,0x7E5F3298
FS,Dexter,Jackson,Skin20,Face7,2088,801E79B,0xCF416D8E
FS,Michael,Stone,Skin10,Face14,3209,F718A130,0x7F360A40
G,Leonard,Davis,Skin22,18,3051,3F9392FE,0x6E063B4D
G,Cameron,Spikes,Skin17,Face10,2099,6A07D5BF,0x7B6B6702
G,Raleigh,Roundtree,Skin22,Face13,1478,331B7DD1,0x42A8D1EC
RB,Marcel,Shipp,Skin3,Face7,3798,9771F7E,0x6BA78863
RB,Emmitt,Smith,Skin5,Face5,466,D42A92BD,0xE75056FA
RB,Damien,Anderson,Skin11,Face4,3505,454592B,0xE6B04F28
RB,Josh,Scobey,Skin14,Face6,4348,3A9DD41C,0xA5B30581
ILB,Ronald,McKinnon,Skin20,Face1,29,445C0AC3,0x9D0CF0A5
ILB,James,Darling,Skin2,Face2,1302,B0A98397,0xD31D8B97
K,Neil,Rackers,Skin17,Face7,2672,8DA9A702,0xA5B30581
OLB,Raynoch,Thompson,Skin6,Face2,2680,ED53D5F,0xF61F6504
OLB,Karlos,Dansby,Skin13,Face1,6373,(no photo),0x4E770BD4
OLB,LeVar,Woods,Skin19,Face2,3830,D9D41708,0x2C984FD7
OLB,Levar,Fisher,Skin6,Face5,3570,9C4697FB,0x42A8D1EC
OLB,Gerald,Hayes,Skin14,Face7,5112,9859F246,0xE027D00A
OLB,Riall,Johnson,Skin10,Face5,3116,2B32437,0xD3C84E69
P,Scott,Player,Skin17,Face2,35,EAAD9331,0x7B6B6702
QB,Josh,McCown,Skin17,Face5,3641,70B602F6,0xED0441C9
QB,Shaun,King,Skin21,Face2,2075,3CAA4AAF,0x630E4046
QB,John,Navarre,Skin17,Face3,6521,(no photo),0x83110820
SS,Adrian,Wilson,Skin6,Face10,3237,BC9BD547,0xF61F6504
T,L.J.,Shelton,Skin20,Face12,1967,80D0D7F9,0xAE4EE0EE
T,Anthony,Clement,Skin22,Face10,50,8268BFE2,0xF61F6504
T,Nick,Leckey,Skin19,Face13,6488,(no photo),0xE3A1E743
TE,Freddie,Jones,Skin3,Face9,1501,A244AE4F,0xEC501568
TE,Nathan,Hodel,Skin1,Face11,4076,BCDF97DD,0x83110820
WR,Anquan,Boldin,Skin5,Face6,5037,B79AC72,0xB392E3BB
WR,Larry,Fitzgerald,Skin11,Face1,6403,34BD07FD,0x6E5DFE22
WR,Bryant,Johnson,Skin6,Face6,5133,BE179A7,0xA5B30581
WR,Nate,Poole,Skin4,Face7,4178,7BE20D74,0x76EFCE7B
WR,Kevin,Kasper,Skin17,Face10,3121,439AD40E,0x7B6B6702
WR,Bryan,Gilmore,Skin4,Face5,3875,2A55EE2A,0x4BFED193
C,Pete,Kendall,Skin9,Face15,1586,EDAB4F82,0x95302A80
C,Frank,Garcia,Skin17,17,259,13CBAA94,0x7B6B6702
C,Alex,Stepanovich,Skin17,Face1,6608,(no photo),0x77C7CCBD
,,,,,,,
Team = Chargers    Players:53,,,,,,,
CB,Quentin,Jammer,Skin4,Face6,3611,B22BB3C8,0x85E8DA7C
CB,Sammy,Davis,Skin12,Face3,5065,69439029,0x7E5F3298
CB,Jamar,Fletcher,Skin5,Face13,3070,BC0A4842,0xCF53B2D9
CB,Drayton,Florence,Skin12,Face7,5084,2A3F1217,0x76EFCE7B
CB,Kevin,House,Skin2,Face12,4988,E0CA627A,0x9BFAE6F4
DE,Otis,Leverette,Skin21,Face10,3130,5FF43569,0x630E4046
DE,Adrian,Dingle,Skin22,Face10,2001,499C788C,0xF61F6504
DE,DeQuincy,Scott,Skin22,Face9,4209,A384B0D8,0xFECF41DB
DE,Dave,Ball,Skin17,Face10,6320,(no photo),0x7B6B6702
DE,Shaun,Phillips,Skin4,Face9,6539,(no photo),0x5D14BD9C
DT,Jamal,Williams,Skin21,19,1475,657F012F,0xB96BFA36
DT,Igor,Olshansky,Skin1,Face9,6527,(no photo),0x77C7CCBD
DT,Jason,Fisk,Skin9,Face10,934,D969FBBC,0x7B6B6702
DT,Ryon,Bingham,Skin17,Face13,6694,(no photo),0x159B72BA
FB,Lorenzo,Neal,Skin3,Face15,1661,78AA1B08,0xAFB2BB6B
FS,Kwamie,Lassiter,Skin5,Face5,3,57674ADA,0x072EE454
FS,Jerry,Wilson,Skin5,Face12,864,7FAB9B7D,0xB96BFA36
G,Toniu,Fonoti,Skin18,18,3571,2998A259,0xF6E63E2E
G,Mike,Goff,Skin17,Face11,386,8C57B64B,0x83110820
G,Phil,Bogle,Skin21,20,6096,A3A9D924,0xCF53B2D9
RB,LaDainian,Tomlinson,Skin13,Face5,3218,6342BFDF,0xA73589AA
RB,Jesse,Chatman,Skin12,Face2,4487,3F64A002,0xF61F6504
RB,Leon,Johnson,Skin14,Face6,1198,F6CE76A5,0xA5B30581
RB,Doug,Chapman,Skin14,Face2,2728,782A02A2,0xF61F6504
RB,Michael,Turner,Skin12,Face4,6634,(no photo),0xAE4EE0EE
ILB,Donnie,Edwards,Skin19,Face3,828,91A6C4F9,0xED905A9D
ILB,Randall,Godfrey,Skin6,Face11,455,8D72E787,0xA9FA59CA
ILB,Zeke,Moreno,Skin18,Face7,3157,274017AD,0xAEE91258
K,Nate,Kaeding,Skin17,Face3,6471,(no photo),0x83110820
OLB,Ben,Leber,Skin17,Face6,3631,D6E3AFB8,0x39799B1C
OLB,Steve,Foley,Skin6,Face2,397,7B022E53,0xF61F6504
OLB,Stephen,Cooper,Skin4,Face7,5059,B6307F86,0x76EFCE7B
P,Mike,Scifres,Skin17,Face12,5508,BB00401B,0x682DBBE5
QB,Drew,Brees,Skin17,Face15,3026,B816749B,0xD5E8BF38
QB,Philip,Rivers,Skin1,Face1,6564,(no photo),0x397C6F89
QB,Doug,Flutie,Skin17,Face4,211,455937BD,0xA8B6B308
SS,Terrence,Kiel,Skin5,Face7,5148,B3B89738,0x0FBA933D
SS,Vernon,Fox,Skin4,Face1,4571,D269F3B6,0x5D14BD9C
T,Roman,Oben,Skin22,Face15,1139,8B195830,0xE027D00A
T,Courtney,Van Buren,Skin21,22,5536,49FFD04A,0x0FBA933D
T,Leander,Jordan,Skin3,Face13,2655,DEC90427,0xE3A1E743
T,Shane,Olivea,Skin17,Face12,6526,(no photo),0x682DBBE5
TE,Antonio,Gates,Skin4,Face5,6123,B235B323,0x4BFED193
TE,Justin,Peelle,Skin1,Face15,3666,BF7C5033,0x95302A80
TE,Josh,Norman,Skin5,Face14,4797,10B754B,0xCEBDD5A4
WR,Kevin,Dyson,Skin5,Face14,1728,CAAAF81F,0x5F3E8C2A
WR,Tim,Dwight,Skin1,Face5,115,3F105039,0xB8C23B78
WR,Eric,Parker,Skin18,Face1,4811,26ED2317,0x1715F556
WR,Reche,Caldwell,Skin4,Face3,3532,8BA4761E,0x7E5F3298
WR,Ryan,Krause,Skin1,Face5,6710,(no photo),0x159B72BA
C,Jason,Ball,Skin17,Face14,3510,797AEE08,0x39799B1C
C,David,Binn,Skin17,Face14,1504,6F882A72,0x39799B1C
C,Nick,Hardwick,Skin1,Face11,6429,(no photo),0x83110820
,,,,,,,
Team = Chiefs    Players:53,,,,,,,
CB,Eric,Warfield,Skin4,Face3,810,0x7CADDD75,0xF1B4CAB9
CB,Dexter,McCleon,Skin4,Face3,1395,0x81143ADE,0x7E5F3298
CB,William,Bartee,Skin4,Face2,2581,0xC12EF514,0x457B656D
CB,Julian,Battle,Skin6,Face4,5321,0xD6709D13,0x50025FDA
DE,Eric,Hicks,Skin10,Face10,816,0x7AC5791E,0x42AF16DA
DE,Vonnie,Holliday,Skin13,Face9,617,0x93146736,0x5C3897FD
DE,Eddie,Freeman,Skin13,Face15,3576,0x1D5B0C6E,0x0FBA933D
DE,R-Kal,Truluck,Skin4,Face13,4995,0x51EDE56C,0x4BFED193
DE,Jared,Allen,Skin1,Face3,6305,(no photo),0x83110820
DT,John,Browning,Skin22,Face10,814,0x4E05CF57,0xF61F6504
DT,Ryan,Sims,Skin12,Face11,3706,0xDD9013E0,0xA40DFBBF
DT,Lional,Dalton,Skin22,17,141,0x18D63A59,0xF61F6504
DT,Junior,Siavii,Skin18,Face11,6727,(no photo),0xF6E63E2E
FB,Tony,Richardson,Skin21,Face6,843,182515A3,0xFABCF606
FB,Omar,Easy,Skin6,Face2,4299,68E4DF11,0xF61F6504
FS,Jerome,Woods,Skin3,Face4,801,0x95C3D1F4,0xE6B04F28
FS,Shaunard,Harts,Skin5,Face2,3090,0x8E38970C,0x630E4046
G,Brian,Waters,Skin21,Face13,3400,F658D2C5,0xCF53B2D9
G,Will,Shields,Skin22,19,823,12529D11,0x50025FDA
G,Jordan,Black,Skin17,Face12,5034,58E47B12,0x682DBBE5
G,Donald,Willis,Skin22,20,3405,600C9344,0x42A8D1EC
RB,Priest,Holmes,Skin13,Face2,158,651A05DB,0xE64B817F
RB,Larry,Johnson,Skin5,Face7,5137,12E96A72,0x0FBA933D
RB,Derrick,Blaylock,Skin13,Face15,3023,79BF4107,0x0FBA933D
ILB,Mike,Maslowski,Skin1,Face5,2874,0xA8ECC7AE,0x159B72BA
ILB,Kawika,Mitchell,Skin10,Face13,5465,0x9B5C2645,0xD3C84E69
K,Morten,Andersen,Skin17,Face5,87,0xAC82D499,0x159B72BA
OLB,Scott,Fujita,Skin17,Face7,3578,0xF6827C36,0x630DECF5
OLB,Shawn,Barber,Skin21,Face7,1770,0x7619B322,0x529BB85F
OLB,Fred,Jones,Skin19,Face6,3774,0x1DDA19ED,0xB219B0B3
OLB,Quinton,Caver,Skin14,Face4,3037,0x4D24D2D3,0x50025FDA
OLB,Keyaron,Fox,Skin5,Face1,6406,(no photo),0x4E770BD4
P,Jason,Baker,Skin1,Face5,3439,0xCEE68A01,0x159B72BA
QB,Trent,Green,Skin17,Face2,1425,9E29C3C5,0xE36AC9B6
QB,Todd,Collins,Skin17,Face2,838,E2A23F11,0x7B6B6702
QB,Damon,Huard,Skin1,Face2,891,FBECC61B,0x7B6B6702
SS,Greg,Wesley,Skin5,Face2,2761,0x425594B5,0xCD0812E5
SS,Clint,Finley,Skin1,Face1,4032,0xCD6E75C1,0x77C7CCBD
T,Willie,Roaf,Skin19,21,1076,26E1C96A,0x42872C5B
T,John,Welbourn,Skin17,Face10,1872,0x270E197,0x7B6B6702
T,Kevin,Sampson,Skin17,Face11,6724,(no photo),0x83110820
T,Chris,Bober,Skin17,17,3310,1B03773D,0x7B6B6702
TE,Tony,Gonzalez,Skin18,Face11,848,3277F15F,0x591FCE20
TE,Kris,Wilson,Skin12,Face10,6671,A2B70EC9,0x457B656D
TE,Jason,Dunn,Skin20,Face10,1322,(no photo),0x457B656D
WR,Johnnie,Morton,Skin18,Face1,599,7674943,0x066F3E7B
WR,Eddie,Kennison,Skin3,Face1,1449,59B597EC,0x0BB4D632
WR,Dante',Hall,Skin13,Face2,2733,5343FB0F,0x36E169E5
WR,Marc,Boerigter,Skin1,Face2,3969,A90B3B78,0x7B6B6702
WR,Samie,Parker,Skin12,Face6,6530,(no photo),0x688EAF51
WR,Chris,Horn,Skin9,Face9,6136,(no photo),0x77C7CCBD
C,Casey,Wiegmann,Skin17,Face14,302,9555CE80,0x39799B1C
C,Kendall,Gammon,Skin17,Face10,1031,B4F683F9,0x7B6B6702
,,,,,,,
Team = Colts    Players:53,,,,,,,
CB,Nicholas,Harper,Skin6,Face4,4066,0x29FB3184,0x50025FDA
CB,Joseph,Jefferson,Skin6,Face6,3613,0xC9C5BC62,0xA5B30581
CB,Jason,David,Skin13,Face4,6702,(no photo),0xB96BFA36
CB,Tahaya,Hutchins,Skin12,Face1,6446,(no photo),0x5D14BD9C
CB,Donald,Strickland,Skin12,Face4,5254,0x19784361,0xAE4EE0EE
DE,Raheem,Brock,Skin19,Face13,3522,0x13355A89,0xE3A1E743
DE,Dwight,Freeney,Skin12,Face14,3577,0x40D6A0C0,0xAFC16594
DE,Brad,Scioli,Skin17,Face10,2063,0xB12073F,0x7B6B6702
DT,Larry,Tripplett,Skin22,Face11,3731,0x1ED91612,0x108E8FFF
DT,Montae,Reagor,Skin20,Face11,2071,0x7FFB7881,0x7E5F3298
DT,Josh,Williams,Skin17,Face15,2632,0x96805AC3,0x95302A80
FB,Tom,Lopienski,Skin1,Face5,5438,0x7F0ED7B9,0x159B72BA
FS,Idrees,Bashir,Skin14,Face6,3013,0x61DC316B,0xA5B30581
FS,Anthony,Floyd,Skin2,Face7,5085,0x3AD6AC3,0xAEE91258
G,Rick,DeMulling,Skin9,Face13,3052,0xF4E4B12E,0x159B72BA
G,Tupe,Peko,Skin19,Face15,3172,0xA45DB4DE,0xA2352E09
G,Steve,Sciullo,Skin17,Face15,5232,0x5B70C8C3,0x95302A80
RB,Edgerrin,James,Skin13,Face3,1954,0x39DBCAED,0xED23CD65
RB,Dominic,Rhodes,Skin4,Face4,3286,0x685F80B0,0x28C81D0E
RB,James,Mungro,Skin5,Face1,4782,0x2591DF81,0x4E770BD4
RB,Brian,Allen,Skin14,Face1,4281,0x70EFB6DB,0xFECF41DB
ILB,Rob,Morris,Skin17,Face2,2675,0x4E17852F,0xE3F836E2
ILB,Jim,Nelson,Skin1,Face10,639,0xB603EC66,0x7B6B6702
ILB,Ben,Mahdavi,Skin3,Face5,5448,0x50D99A6D,0xE3A1E743
K,Mike,Vanderjagt,Skin17,Face2,696,0xFFC4665F,0x46142D27
K,David,Kimball,Skin1,Face5,6479,(no photo),0x159B72BA
OLB,Gary,Brackett,Skin5,Face6,6098,0x4AAE7617,0xCEBDD5A4
OLB,David,Thornton,Skin5,Face2,3730,0x86BB8B62,0x630E4046
OLB,Cato,June,Skin4,Face5,5144,0x6A244246,0x4BFED193
OLB,Kendyll,Pope,Skin13,Face10,6545,(no photo),0x630E4046
OLB,Gilbert,Gardner,Skin6,Face13,6413,(no photo),0x42A8D1EC
P,Hunter,Smith,Skin17,Face3,1916,0x2F594870,0x83110820
QB,Peyton,Manning,Skin17,Face2,707,0xCD7AB602,0x4792EE77
QB,Cory,Sauter,Skin17,Face6,4205,0x63134274,0x39799B1C
QB,Tom,Arth,Skin17,Face2,5583,0xF2E33DB7,0x7B6B6702
QB,Jim,Sorgi,Skin1,Face6,6730,(no photo),0x39799B1C
SS,Mike,Doss,Skin6,Face6,5071,0x2BE56B66,0xE33416DF
SS,Bob,Sanders,Skin12,Face6,6579,(no photo),0x688EAF51
SS,Cory,Bird,Skin3,Face14,3020,0x9C938481,0xB219B0B3
T,Tarik,Glenn,Skin22,20,717,0x78755ED3,0x42A8D1EC
T,Ryan,Diem,Skin17,Face12,3054,0x92AC9411,0x682DBBE5
T,Makoa,Freitas,Skin17,Face13,6218,0xA85D4D7E,0x159B72BA
T,Jake,Scott,Skin9,Face10,6725,(no photo),0x7B6B6702
TE,Marcus,Pollard,Skin20,Face9,722,0x9CB0C870,0xCA1F9060
TE,Dallas,Clark,Skin1,Face11,5055,0x880C7356,0x7373976B
TE,Ben,Hartsock,Skin9,Face11,6436,(no photo),0x83110820
WR,Reggie,Wayne,Skin4,Face4,3228,0x4B9AB10,0x1789EC15
WR,Marvin,Harrison,Skin4,Face2,725,0x3BE619A8,0xC1883E1D
WR,Brandon,Stokley,Skin17,Face2,1882,0xE50E5EEE,0x7B6B6702
WR,Troy,Walters,Skin21,Face4,2806,0x1867F7A7,0xB96BFA36
WR,Aaron,Moorehead,Skin5,Face4,5468,0xD1254AC6,0xB96BFA36
C,Jeff,Saturday,Skin17,Face10,3383,0xE839D313,0x7B6B6702
C,Justin,Snow,Skin17,Face10,3820,0x72D0D984,0x7B6B6702
,,,,,,,
Team = Cowboys    Players:53,,,,,,,
CB,Terence,Newman,Skin5,Face6,5191,0xF63EA1F0,0x22BF714B
CB,Pete,Hunter,Skin5,Face2,4321,0xC387DC0C,0x630E4046
CB,Donald,Mitchell,Skin11,Face3,1949,0xE5D2DF4B,0x5023E6FF
CB,Jacques,Reeves,Skin12,Face1,6552,(no photo),0x5D14BD9C
CB,Bruce,Thornton,Skin12,Face4,6627,(no photo),0xAE4EE0EE
DE,Greg,Ellis,Skin14,Face13,441,0xA777EFBC,0x6EADD889
DE,Marcellus,Wiley,Skin14,Face13,192,0xA9DE98B2,0x12575E9F
DE,Kenyon,Coleman,Skin11,Face10,3539,0x820B2AD0,0x2C984FD7
DE,Eric,Ogbogu,Skin22,Face11,1166,0x416DAE26,0x108E8FFF
DT,La'Roi,Glover,Skin14,Face9,1049,0xCAB6E133,0xCB880046
DT,Willie,Blade,Skin22,Face13,3022,0x6DC847E8,0x42A8D1EC
DT,Leonardo,Carson,Skin22,Face10,2610,0xF5345E90,0xF61F6504
DT,Daleroy,Stewart,Skin14,Face11,3206,0xDF73EBB,0x108E8FFF
FB,Richie,Anderson,Skin21,Face2,1199,0xEFE33981,0x630E4046
FB,Jamar,Martin,Skin5,Face7,3639,0x8F2200FA,0x0FBA933D
FS,Roy,Williams,Skin14,Face5,3749,0xEA8BA0FF,0x1C6FAEE4
G,Larry,Allen,Skin20,Face15,472,0x195C8D92,0xD3D4C3FA
G,Andre,Gurode,Skin22,Face13,3590,0x34D95702,0x42A8D1EC
G,Tyson,Walter,Skin9,Face14,4358,0x56EE3704,0x39799B1C
G,Stephen,Peterman,Skin17,22,6537,(no photo),0x95302A80
RB,Julius,Jones,Skin13,Face1,6465,0x4B70EE3F,0x4E770BD4
RB,Aveion,Cason,Skin4,Face4,3852,0x7B52AF31,0xAE4EE0EE
RB,Erik,Bickerstaff,Skin13,Face11,6225,(no photo),0x315951BF
ILB,Dat,Nguyen,Skin17,Face2,2098,0x9DA203D1,0x476BEB55
ILB,Jamal,Brooks,Skin21,Face6,3763,0x9DFAF26A,0xCEBDD5A4
K,Billy,Cundiff,Skin17,Face2,4378,0xC9DB5F4A,0x7B6B6702
OLB,Alshermond,Singleton,Skin6,Face2,1652,0x84ADADE,0xF61F6504
OLB,Dexter,Coakley,Skin6,Face2,453,0xF8D10376,0x082D46B2
OLB,Markus,Steele,Skin6,Face2,3205,0x8358007A,0xF61F6504
P,Mat,McBriar,Skin17,Face14,5456,0x7856CBDA,0x39799B1C
QB,Quincy,Carter,Skin22,Face5,3036,0x2E094B01,0xA8A2552A
QB,Vinny,Testaverde,Skin17,Face6,1192,0x86AC3EF9,0xACDCD528
QB,Drew,Henson,Skin17,Face15,5401,(no photo),0x95302A80
QB,Chad,Hutchinson,Skin17,Face5,4081,0xD91437DB,0x10EA7439
SS,Darren,Woodson,Skin4,Face4,429,0x47D53CB7,0x4A0F1079
SS,Tony,Dixon,Skin5,Face2,3055,0x7AA93B52,0x630E4046
T,Flozell,Adams,Skin22,19,449,0x2B9E2DEE,0x50025FDA
T,Kurt,Vollers,Skin9,Face11,3733,0x39762BEB,0x83110820
T,Jacob,Rogers,Skin17,Face9,6569,(no photo),0x77C7CCBD
T,Torrin,Tucker,Skin21,Face10,5268,0x27DA590D,0x630E4046
T,Javiar,Collins,Skin11,Face13,3993,0x3826549C,0xE3A1E743
TE,Dan,Campbell,Skin1,Face13,2015,0xAA26DD6F,0x159B72BA
TE,Jason,Witten,Skin9,Face10,5301,0x4FBE85BE,0x7B6B6702
TE,Sean,Ryan,Skin1,Face11,6575,(no photo),0x83110820
TE,Jeff,Robinson,Skin1,Face10,1404,0x6E4A35FC,0x7B6B6702
WR,Keyshawn,Johnson,Skin6,Face6,1207,0x60A50DDD,0xC3C1A760
WR,Terry,Glenn,Skin3,Face2,1024,0xA502BE75,0x28F79EA1
WR,Antonio,Bryant,Skin6,Face4,3525,0x5E9F79C2,0x50025FDA
WR,Patrick,Crayton,Skin3,Face1,6700,(no photo),0x0BB4D632
WR,Zuriel,Smith,Skin13,Face7,5516,0xE29432,0x0FBA933D
C,Matt,Lehr,Skin1,Face13,3129,0x3520B220,0x159B72BA
C,Gennaro,DiNapoli,Skin17,Face14,1235,0x17CE7EED,0x39799B1C
C,Al,Johnson,Skin17,Face10,5130,0x7CD59163,0x7B6B6702
,,,,,,,
Team = Dolphins    Players:53,,,,,,,
CB,Patrick,Surtain,Skin4,Face2,862,0x547FC3F7,0x79255D00
CB,Sam,Madison,Skin5,Face7,861,0x9662DFEE,0x547E6A08
CB,Reggie,Howard,Skin3,Face5,3340,0x14DAEE20,0xE3A1E743
CB,Will,Poole,Skin13,Face1,6544,(no photo),0x4E770BD4
DE,Adewale,Ogunleye,Skin12,Face10,3918,0xB78903B7,0x420397E6
DE,Jason,Taylor,Skin3,Face3,868,0x6D94474F,0x12F84278
DE,Jay,Williams,Skin5,Face12,1403,0x7F05921B,0xB96BFA36
DE,David,Bowens,Skin4,Face14,1988,0xFF25C444,0x688EAF51
DT,Tim,Bowens,Skin21,Face10,874,0xCEA8BF8C,0x32EDB23A
DT,Larry,Chester,Skin5,Face10,688,0xCB5B401C,0x630E4046
DT,Jeff,Zgonina,Skin17,Face14,691,0xFB8547E1,0x39799B1C
DT,Dario,Romero,Skin17,Face9,4196,0xB132542C,0x77C7CCBD
FB,Rob,Konrad,Skin1,Face5,1965,0x3AB792DE,0x159B72BA
FB,Sammy,Morris,Skin4,Face4,2645,0x616289FD,0xAE4EE0EE
FS,Arturo,Freeman,Skin13,Face2,2748,0xD71977D5,0x630E4046
FS,Shawn,Wooden,Skin4,Face4,866,0xE1D9184C,0xAE4EE0EE
FS,Tony,Bua,Skin9,Face6,6336,(no photo),0x39799B1C
G,Jeno,James,Skin22,Face11,2664,0xA500B50D,0x108E8FFF
G,Vernon,Carey,Skin22,Face9,6341,(no photo),0xFECF41DB
G,Greg,Jerman,Skin17,Face10,4662,0x5F91C0F9,0x7B6B6702
G,Taylor,Whitley,Skin1,Face10,5289,0xD64AF949,0x7B6B6702
G,Rex,Hadnot,Skin17,Face10,6704,(no photo),0x7B6B6702
RB,Ricky,Williams,Skin5,Face3,1955,0xD3FB4AFF,0x1063C953
RB,Travis,Minor,Skin13,Face4,3153,0xF2970682,0x8C82E89A
RB,Leonard,Henry,Skin13,Face1,4317,0x8DD2C4FA,0x4E770BD4
ILB,Zach,Thomas,Skin1,Face2,883,0x4CFF919C,0x72DF5C90
ILB,Derrick,Pope,Skin5,Face6,6723,(no photo),0xCEBDD5A4
K,Olindo,Mare,Skin17,Face6,881,0x5DAA520D,0x4DEB59B2
OLB,Morlon,Greenwood,Skin5,Face4,3084,0x9AC0C69C,0xB96BFA36
OLB,Junior,Seau,Skin2,Face3,1483,0xFBA9E993,0xA5E596A4
OLB,Eddie,Moore,Skin14,Face10,5183,0xB34296E0,0xF61F6504
OLB,Corey,Jenkins,Skin6,Face13,5413,0x5C68EFD1,0x42A8D1EC
P,Matt,Turk,Skin17,Face2,1775,0x1BDAEA30,0x7B6B6702
QB,A.J.,Feeley,Skin17,Face13,3065,0x80792A18,0x0D964604
QB,Jay,Fiedler,Skin17,Face2,951,0xB607328B,0xA6E5784B
QB,Sage,Rosenfels,Skin17,Face14,3191,0xC4F00388,0x39799B1C
SS,Sammy,Knight,Skin3,Face3,1035,0xF7108C00,0x65461B00
SS,Antuan,Edwards,Skin22,Face1,1983,0xD397142A,0xFECF41DB
T,Wade,Smith,Skin21,Face15,5247,0xF03E19B,0x0FBA933D
T,John,St. Clair,Skin3,Face12,2565,0xE8DD596E,0xE6B04F28
T,Damion,McIntosh,Skin21,Face10,2770,0xBDAB4057,0x630E4046
T,Tony,Pape,Skin17,Face12,6529,(no photo),0x682DBBE5
TE,Randy,McMichael,Skin5,Face13,3647,0x3C9697F,0xDE389965
TE,Donald,Lee,Skin12,Face13,5155,0x33627D73,0x4BFED193
TE,Ed,Perry,Skin14,Face15,905,0xFEF9C0A1,0xE027D00A
WR,David,Boston,Skin10,Face2,1963,0x9CEB0DB6,0xEDBD3481
WR,Chris,Chambers,Skin6,Face15,3038,0x8743C75F,0x698D71F0
WR,Derrius,Thompson,Skin6,Face7,3297,0x89ABDACF,0xE027D00A
WR,Snoop,Minnis,Skin14,Face6,3152,0xCBFEA863,0x6C7E8495
WR,J.R.,Tolver,Skin5,Face5,5266,0x4ADB27FF,0xCF53B2D9
WR,Terrence,Wilkins,Skin19,Face7,2915,0x112655FA,0xA2352E09
C,Seth,McKinney,Skin17,Face15,3645,0x7F8A0CC7,0x95302A80
C,William,Delahoussaye,Skin17,Face13,6232,(no photo),0x159B72BA
,,,,,,,
Team = Eagles    Players:53,,,,,,,
CB,Sheldon,Brown,Skin5,Face7,3524,0xE6E87488,0x0FBA933D
CB,Lito,Sheppard,Skin6,Face3,3701,0xD1C4940B,0x108E8FFF
CB,Matt,Ware,Skin11,Face1,6644,(no photo),0x0BB4D632
CB,Dexter,Wynn,Skin13,Face7,6681,(no photo),0x0FBA933D
CB,Roderick,Hood,Skin4,Face1,5124,0xADEEB103,0x5D14BD9C
DE,Ndukwe,Kalu,Skin6,Face10,1749,0x24DAB1C9,0xF61F6504
DE,Jevon,Kearse,Skin6,Face9,1961,0x77C732B8,0xE612FBF7
